Sun Mar 01 00:00:00 GMT 2020,Germany,130,0,16,114
Mon Mar 02 00:00:00 GMT 2020,Germany,159,0,16,143
Tue Mar 03 00:00:00 GMT 2020,Germany,196,0,16,180
Wed Mar 04 00:00:00 GMT 2020,Germany,262,0,16,246
Thu Mar 05 00:00:00 GMT 2020,Germany,482,0,16,466
Fri Mar 06 00:00:00 GMT 2020,Germany,670,0,17,653
Sat Mar 07 00:00:00 GMT 2020,Germany,799,0,18,781
Sun Mar 08 00:00:00 GMT 2020,Germany,1040,0,18,1022
Mon Mar 09 00:00:00 GMT 2020,Germany,1176,2,18,1156
Tue Mar 10 00:00:00 GMT 2020,Germany,1457,2,18,1437
Wed Mar 11 00:00:00 GMT 2020,Germany,1908,3,25,1880
Thu Mar 12 00:00:00 GMT 2020,Germany,2078,3,25,2050
Fri Mar 13 00:00:00 GMT 2020,Germany,3675,7,46,3622
Sat Mar 14 00:00:00 GMT 2020,Germany,4585,9,46,4530
Sun Mar 15 00:00:00 GMT 2020,Germany,5795,11,46,5738
Mon Mar 16 00:00:00 GMT 2020,Germany,7272,17,67,7188
Tue Mar 17 00:00:00 GMT 2020,Germany,9257,24,67,9166
Wed Mar 18 00:00:00 GMT 2020,Germany,12327,28,105,12194
Thu Mar 19 00:00:00 GMT 2020,Germany,15320,44,113,15163
Fri Mar 20 00:00:00 GMT 2020,Germany,19848,67,180,19601
Sat Mar 21 00:00:00 GMT 2020,Germany,22213,84,233,21896
Sun Mar 22 00:00:00 GMT 2020,Germany,24873,94,266,24513
Mon Mar 23 00:00:00 GMT 2020,Germany,29056,123,266,28667
Tue Mar 24 00:00:00 GMT 2020,Germany,32986,157,3243,29586
Wed Mar 25 00:00:00 GMT 2020,Germany,37323,206,3547,33570
Thu Mar 26 00:00:00 GMT 2020,Germany,43938,267,5673,37998
Fri Mar 27 00:00:00 GMT 2020,Germany,50871,342,6658,43871
Sat Mar 28 00:00:00 GMT 2020,Germany,57695,433,8481,48781
Sun Mar 29 00:00:00 GMT 2020,Germany,62095,533,9211,52351
Mon Mar 30 00:00:00 BST 2020,Germany,66885,645,13500,52740
Tue Mar 31 00:00:00 BST 2020,Germany,71808,775,16100,54933
Wed Apr 01 00:00:00 BST 2020,Germany,77872,920,18700,58252
